Gene,Motif Assignment Number
ENSG00000113558,1
ENSG00000113575,1
ENSG00000113583,1
ENSG00000113593,1
ENSG00000113595,1
ENSG00000113597,1
ENSG00000113615,1
ENSG00000113638,1
ENSG00000113712,1
ENSG00000113732,1
ENSG00000113734,1
ENSG00000113761,1
ENSG00000113790,1
ENSG00000113812,1
ENSG00000113838,1
ENSG00000113851,1
ENSG00000113966,1
ENSG00000114026,1
ENSG00000114054,1
ENSG00000114062,1
ENSG00000114209,1
ENSG00000114270,1
ENSG00000114353,1
ENSG00000114388,1
ENSG00000114395,1
ENSG00000114439,1
ENSG00000114573,1
ENSG00000114648,1
ENSG00000114650,1
ENSG00000114739,1
ENSG00000114742,1
ENSG00000114779,1
ENSG00000114784,1
ENSG00000114786,1
ENSG00000114857,1
ENSG00000114859,1
ENSG00000114867,1
ENSG00000114902,1
ENSG00000114933,1
ENSG00000114956,1
ENSG00000114988,1
ENSG00000115128,1
ENSG00000115137,1
ENSG00000115159,1
ENSG00000115183,1
ENSG00000115207,1
ENSG00000115211,1
ENSG00000115233,1
ENSG00000115234,1
ENSG00000115239,1
ENSG00000115274,1
ENSG00000115282,1
ENSG00000115286,1
ENSG00000115307,1
ENSG00000115317,1
ENSG00000115325,1
ENSG00000115355,1
ENSG00000115365,1
ENSG00000115392,1
ENSG00000115421,1
ENSG00000115459,1
ENSG00000115464,1
ENSG00000115514,1
ENSG00000115524,1
ENSG00000115526,1
ENSG00000115561,1
ENSG00000115677,1
ENSG00000115685,1
ENSG00000115750,1
ENSG00000115756,1
ENSG00000115760,1
ENSG00000115762,1
ENSG00000115806,1
ENSG00000115808,1
ENSG00000115839,1
ENSG00000115841,1
ENSG00000115875,1
ENSG00000115904,1
ENSG00000115942,1
ENSG00000115966,1
ENSG00000115977,1
ENSG00000115993,1
ENSG00000115998,1
ENSG00000116001,1
ENSG00000116005,1
ENSG00000116030,1
ENSG00000116128,1
ENSG00000116138,1
ENSG00000116157,1
ENSG00000116171,1
ENSG00000116198,1
ENSG00000116199,1
ENSG00000116209,1
ENSG00000116212,1
ENSG00000116251,1
ENSG00000116337,1
ENSG00000116350,1
ENSG00000116353,1
ENSG00000116406,1
ENSG00000116489,1
ENSG00000116521,1
ENSG00000116539,1
ENSG00000116574,1
ENSG00000116580,1
ENSG00000116685,1
ENSG00000116691,1
ENSG00000116698,1
ENSG00000116747,1
ENSG00000116754,1
ENSG00000116791,1
ENSG00000116809,1
ENSG00000116830,1
ENSG00000116863,1
ENSG00000116885,1
ENSG00000116898,1
ENSG00000116903,1
ENSG00000116906,1
ENSG00000116918,1
ENSG00000116977,1
ENSG00000117000,1
ENSG00000117010,1
ENSG00000117054,1
ENSG00000117153,1
ENSG00000117245,1
ENSG00000117335,1
ENSG00000117360,1
ENSG00000117362,1
ENSG00000117385,1
ENSG00000117408,1
ENSG00000117410,1
ENSG00000117419,1
ENSG00000117450,1
ENSG00000117475,1
ENSG00000117481,1
ENSG00000117533,1
ENSG00000117595,1
ENSG00000117632,1
ENSG00000117676,1
ENSG00000117713,1
ENSG00000117791,1
ENSG00000117899,1
ENSG00000117906,1
ENSG00000117984,1
ENSG00000118046,1
ENSG00000118096,1
ENSG00000118162,1
ENSG00000118197,1
ENSG00000118200,1
ENSG00000118217,1
ENSG00000118260,1
ENSG00000118276,1
ENSG00000118363,1
ENSG00000118418,1
ENSG00000118454,1
ENSG00000118496,1
ENSG00000118518,1
ENSG00000118523,1
ENSG00000118680,1
ENSG00000118690,1
ENSG00000118705,1
ENSG00000118900,1
ENSG00000118922,1
ENSG00000119004,1
ENSG00000119185,1
ENSG00000119280,1
ENSG00000119314,1
ENSG00000119321,1
ENSG00000119326,1
ENSG00000119333,1
ENSG00000119383,1
ENSG00000119396,1
ENSG00000119397,1
ENSG00000119408,1
ENSG00000119414,1
ENSG00000119421,1
ENSG00000119446,1
ENSG00000119471,1
ENSG00000119487,1
ENSG00000119509,1
ENSG00000119537,1
ENSG00000119541,1
ENSG00000119638,1
ENSG00000119640,1
ENSG00000119650,1
ENSG00000119661,1
ENSG00000119682,1
ENSG00000119684,1
ENSG00000119689,1
ENSG00000119703,1
ENSG00000119707,1
ENSG00000119718,1
ENSG00000119720,1
ENSG00000119723,1
ENSG00000119737,1
ENSG00000119777,1
ENSG00000119820,1
ENSG00000119844,1
ENSG00000119878,1
ENSG00000119906,1
ENSG00000119929,1
ENSG00000119953,1
ENSG00000119977,1
ENSG00000119979,1
ENSG00000120008,1
ENSG00000120029,1
ENSG00000120063,1
ENSG00000120071,1
