"V1" "V1" "V1" "V1" "V1"
"1477" "ZNF436" NA "GOLGA4" NA NA
"1478" "DYNLRB1" NA "CAND2" NA NA
"1479" "ROMO1" NA "RPL32" NA NA
"1480" "GRPR" NA "PTPRG" NA NA
"1481" "TMEM115" NA "SLC25A26" NA NA
"1482" "PSMB2" NA "ADPRH" NA NA
"1483" "AGO3" NA "ATG3" NA NA
"1484" "TMEM53" NA "OCIAD2" NA NA
"1485" "MCF2L" NA "SLC10A4" NA NA
"1486" "LRFN3" NA "ENOPH1" NA NA
"1487" "PDCD2L" NA "KLHL8" NA NA
"1488" "RBM42" NA "CAMK2D" NA NA
"1489" "COX6B1" NA "SPATA5" NA NA
"1490" "THRA" NA "SETD7" NA NA
"1491" "IRF3" NA "NAF1" NA NA
"1492" "RRAS" NA "RPL37" NA NA
"1493" "SCAF1" NA "GIN1" NA NA
"1494" "PRR12" NA "PPIP5K2" NA NA
"1495" "BECN1" NA "SLC30A5" NA NA
"1496" "TRAP1" NA "BTF3" NA NA
"1497" "AHDC1" NA "TNFAIP8" NA NA
"1498" "ZNF384" NA "ATG12" NA NA
"1499" "ELK1" NA "MEGF10" NA NA
"1500" "ZBTB1" NA "G3BP1" NA NA
"1501" "RHOT1" NA "TENM2" NA NA
"1502" "NUP214" NA "FARS2" NA NA
"1503" "SLC10A3" NA "GFOD1" NA NA
"1504" "ZC4H2" NA "ABT1" NA NA
"1505" "ZNF484" NA "PPP1R18" NA NA
"1506" "BCL11B" NA "RPL7L1" NA NA
"1507" "HELB" NA "NFKBIE" NA NA
"1508" "RAP1B" NA "TPBG" NA NA
"1509" "DYRK2" NA "RARS2" NA NA
"1510" "YEATS4" NA "SLC18B1" NA NA
"1511" "TMEM175" NA "SLC22A3" NA NA
"1512" "EMC1" NA "SLC12A9" NA NA
"1513" "UBR4" NA "TRIM4" NA NA
"1514" "SIN3B" NA "SH3KBP1" NA NA
"1515" "SLC35E1" NA "CASK" NA NA
"1516" "UQCR11" NA "KDM6A" NA NA
"1517" "GFER" NA "HDAC8" NA NA
"1518" "PKMYT1" NA "ZNF182" NA NA
"1519" "SMARCA4" NA "CHST7" NA NA
"1520" "KDM4B" NA "ZNF41" NA NA
"1521" "AAMP" NA "TAF1" NA NA
"1522" "GNG11" NA "ITGB1BP2" NA NA
"1523" "SHFM1" NA "FBXO25" NA NA
"1524" "POR" NA "NSDHL" NA NA
"1525" "PEX1" NA "CETN2" NA NA
"1526" "MTERF" NA "BIN3" NA NA
"1527" "CASD1" NA "PROSC" NA NA
"1528" "RASL11B" NA "PPAPDC1B" NA NA
"1529" "PPAT" NA "GINS4" NA NA
"1530" "SDF2L1" NA "RPL7" NA NA
"1531" "CDC42EP1" NA "UTP23" NA NA
"1532" "TPST2" NA "NDUFB9" NA NA
"1533" "MPST" NA "TATDN1" NA NA
"1534" "POT1" NA "FBXO10" NA NA
"1535" "NAA38" NA "SIGMAR1" NA NA
"1536" "MKLN1" NA "CEP78" NA NA
"1537" "KLHDC10" NA "C9orf3" NA NA
"1538" "MRPS12" NA "ZNF462" NA NA
"1539" "CHN1" NA "UGCG" NA NA
"1540" "GAD1" NA "STOM" NA NA
"1541" "ORMDL1" NA "GSN" NA NA
"1542" "MYO5C" NA "SURF4" NA NA
"1543" "TTBK2" NA "GBGT1" NA NA
"1544" "C15orf57" NA "SURF6" NA NA
"1545" "INO80" NA "REXO4" NA NA
"1546" "FAM63B" NA "SH3GLB2" NA NA
"1547" "KNSTRN" NA "C9orf142" NA NA
"1548" "VPS13C" NA "NOTCH1" NA NA
"1549" "MBD4" NA "MSRB2" NA NA
"1550" "SPCS3" NA "FAM188A" NA NA
"1551" "SERGEF" NA "NRBF2" NA NA
"1552" "RPAIN" NA "CDHR1" NA NA
"1553" "FXR2" NA "RPP30" NA NA
"1554" "KIF1C" NA "LRRC27" NA NA
"1555" "LRRC6" NA "GSTO1" NA NA
"1556" "CCNT1" NA "TAF5" NA NA
"1557" "PUS7L" NA "BTBD10" NA NA
"1558" "ILF3" NA "LIN7C" NA NA
"1559" "SLC44A2" NA "IMMP1L" NA NA
"1560" "NGDN" NA "DGKZ" NA NA
"1561" "HEATR5A" NA "PTPRJ" NA NA
"1562" "SNX6" NA "CELF1" NA NA
"1563" "EAPP" NA "C11orf73" NA NA
"1564" "EGLN3" NA "CCDC81" NA NA
"1565" "TEP1" NA "INTS4" NA NA
"1566" "ITFG1" NA "TTC12" NA NA
"1567" "SEC14L1" NA "AASDHPPT" NA NA
"1568" "RHBDF2" NA "HYOU1" NA NA
"1569" "MAP7D3" NA "CSRP2BP" NA NA
"1570" "CDKN1C" NA "DAK" NA NA
"1571" "SGOL1" NA "TMEM138" NA NA
"1572" "TMEM8A" NA "EI24" NA NA
"1573" "TNNI3" NA "CHEK1" NA NA
"1574" "HDHD1" NA "TMEM25" NA NA
"1575" "STARD8" NA "ORAOV1" NA NA
"1576" "SAT1" NA "PLCB3" NA NA
"1577" "GNL3L" NA "VPS51" NA NA
"1578" "MOSPD2" NA "HIRIP3" NA NA
"1579" "DOCK6" NA "HMGA2" NA NA
"1580" "LDLR" NA "CNKSR2" NA NA
"1581" "CNN1" NA "MPP7" NA NA
"1582" "PVRL2" NA "CTAGE5" NA NA
"1583" "XPO7" NA "WDR17" NA NA
"1584" "GTPBP3" NA "FAM173B" NA NA
"1585" "SLC27A1" NA "C11orf57" NA NA
"1586" "COLGALT1" NA "PTS" NA NA
"1587" "RTN4IP1" NA "CRIM1" NA NA
"1588" "QRSL1" NA "SEC24D" NA NA
"1589" "MLLT1" NA "UBC" NA NA
"1590" "MLLT4" NA "CCRN4L" NA NA
"1591" "ZSWIM6" NA "DCP1B" NA NA
"1592" "MAP1S" NA "NGLY1" NA NA
"1593" "PXDN" NA "OXSM" NA NA
"1594" "PGPEP1" NA "UEVLD" NA NA
"1595" "SULT4A1" NA "UBE3B" NA NA
"1596" "OLFM1" NA "DIP2C" NA NA
"1597" "UBAC1" NA "TEX30" NA NA
"1598" "HELZ2" NA "SRFBP1" NA NA
"1599" "ZNF337" NA "TMEM18" NA NA
"1600" "CEP85" NA "KCTD14" NA NA
"1601" "ASS1" NA "NDUFC2" NA NA
"1602" "EXOSC2" NA "CDC123" NA NA
"1603" "PRRC2B" NA "EPS8" NA NA
"1604" "YIPF2" NA "ACAD8" NA NA
"1605" "ATG4D" NA "KIN" NA NA
"1606" "TMEM160" NA "RNF144A" NA NA
"1607" "NPAS1" NA "ASAP2" NA NA
"1608" "ATPIF1" NA "SLC25A4" NA NA
"1609" "ZNF317" NA "BEND6" NA NA
"1610" "PPAN" NA "GEMIN6" NA NA
"1611" "ZNF426" NA "GRID2" NA NA
"1612" "DKC1" NA "ARL14EP" NA NA
"1613" "ZNF236" NA "ATP5A1" NA NA
"1614" "LRP3" NA "TCF7L1" NA NA
"1615" "UBE4B" NA "ATG10" NA NA
"1616" "UBA1" NA "SPOCK1" NA NA
"1617" "PPIL4" NA "CWF19L2" NA NA
"1618" "EPS8L1" NA "XRCC4" NA NA
"1619" "AAR2" NA "SUV39H2" NA NA
"1620" "GGT7" NA "RPP38" NA NA
"1621" "ARHGEF9" NA "CCDC50" NA NA
"1622" "ATP6V1E1" NA "PAN3" NA NA
"1623" "ZNF428" NA "GPD1L" NA NA
"1624" "COX4I1" NA "SLC30A6" NA NA
"1625" "EMC8" NA "GPR180" NA NA
"1626" "COX7B" NA "IFIT5" NA NA
"1627" "PRR7" NA "MED21" NA NA
"1628" "CAP1" NA "GPR125" NA NA
"1629" "PPT1" NA "RASSF3" NA NA
"1630" "RAB11FIP4" NA "RANBP2" NA NA
"1631" "ABCB7" NA "FAM49B" NA NA
"1632" "TRAF3" NA "TRAPPC8" NA NA
"1633" "MRPS25" NA "INO80C" NA NA
"1634" "HACL1" NA "LPCAT1" NA NA
"1635" "TBC1D5" NA "NMRAL1" NA NA
"1636" "CAPN7" NA "FBXL2" NA NA
"1637" "ZFYVE20" NA "RPIA" NA NA
"1638" "SLC6A6" NA "GTF2E1" NA NA
"1639" "NR1H2" NA "CFDP1" NA NA
"1640" "PDLIM4" NA "C7orf31" NA NA
"1641" "KIF3A" NA "JAZF1" NA NA
"1642" "PSME3" NA "ZNF599" NA NA
"1643" "NDUFA2" NA "HS2ST1" NA NA
"1644" "ANKHD1" NA "HS3ST3A1" NA NA
"1645" "NDFIP1" NA "CABYR" NA NA
"1646" "UBE2D2" NA "LONRF1" NA NA
"1647" "EXOC4" NA "FAM69A" NA NA
"1648" "NINJ1" NA "GABPA" NA NA
"1649" "MAP1B" NA "SLFN13" NA NA
"1650" "WDR44" NA "FGD5" NA NA
"1651" "STARD3" NA "FLCN" NA NA
"1652" "RARA" NA "CXXC1" NA NA
"1653" "PIAS3" NA "APCDD1" NA NA
"1654" "PRKAB2" NA "PIEZO2" NA NA
"1655" "CHSY1" NA "EME1" NA NA
"1656" "C19orf12" NA "EPHB1" NA NA
"1657" "ZSWIM4" NA "ANKRD40" NA NA
"1658" "FBXW9" NA "VOPP1" NA NA
"1659" "DCAF15" NA "ATP6V1C1" NA NA
"1660" "MATN3" NA "TMEM55A" NA NA
"1661" "TRIM21" NA "TTC39B" NA NA
"1662" "LHX1" NA "MARVELD1" NA NA
"1663" "ACACA" NA "HEATR3" NA NA
"1664" "DHX30" NA "MKI67IP" NA NA
"1665" "ARFIP2" NA "CNOT8" NA NA
"1666" "TIMM10B" NA "SETD9" NA NA
"1667" "EFR3A" NA "NUP205" NA NA
"1668" "ILKAP" NA "KDM8" NA NA
"1669" "PER2" NA "KCTD18" NA NA
"1670" "CLUH" NA "MED7" NA NA
"1671" "INPP5K" NA "TMBIM4" NA NA
"1672" "RPA1" NA "VBP1" NA NA
"1673" "UBE2G1" NA "C8orf37" NA NA
"1674" "TBC1D14" NA "WHAMM" NA NA
"1675" "PNISR" NA "TSPAN7" NA NA
"1676" "FIGNL1" NA "CDK20" NA NA
"1677" "ZRANB2" NA "PCGF6" NA NA
"1678" "KDM6B" NA "SFR1" NA NA
"1679" "DLG4" NA "SFXN2" NA NA
"1680" "VPS13B" NA "MTERFD1" NA NA
"1681" "REEP2" NA "PTDSS1" NA NA
"1682" "SDF2" NA "FAM122C" NA NA
"1683" "FLOT2" NA "SUPV3L1" NA NA
"1684" "ERAL1" NA "HK1" NA NA
"1685" "PRMT7" NA "TYSND1" NA NA
"1686" "NIP7" NA "BAG4" NA NA
"1687" "VPS4A" NA "WDYHV1" NA NA
"1688" "PCED1A" NA "NSMCE2" NA NA
"1689" "PCNA" NA "PRR14" NA NA
"1690" "PTPRA" NA "MALSU1" NA NA
"1691" "RAB25" NA "B3GNT7" NA NA
"1692" "MUTYH" NA "PDE6D" NA NA
"1693" "USPL1" NA "RPUSD3" NA NA
"1694" "XPO4" NA "C1orf27" NA NA
"1695" "POMP" NA "CPT2" NA NA
"1696" "MYH10" NA "SSBP3" NA NA
"1697" "SLC41A1" NA "CLDN12" NA NA
"1698" "RFXAP" NA "MMP14" NA NA
"1699" "RFC3" NA "" NA NA
"1700" "BEX1" NA "DDX19B" NA NA
"1701" "EPHB2" NA "FUK" NA NA
"1702" "SUV420H2" NA "IL34" NA NA
"1703" "ZNF414" NA "DHRS1" NA NA
"1704" "MACROD1" NA "ZNF19" NA NA
"1705" "RTN3" NA "DYRK1A" NA NA
"1706" "LARGE" NA "TSPAN18" NA NA
"1707" "C1QTNF6" NA "SLC37A3" NA NA
"1708" "ADCK2" NA "AP3S2" NA NA
"1709" "MKRN1" NA "RAB28" NA NA
"1710" "KRBA1" NA "FAM213B" NA NA
"1711" "ACTR3B" NA "SKI" NA NA
"1712" "IPO8" NA "DZIP1L" NA NA
"1713" "CCDC59" NA "FANCC" NA NA
"1714" "SWAP70" NA "FAIM" NA NA
"1715" "ARNTL" NA "AUTS2" NA NA
"1716" "AMPD3" NA "CDC25C" NA NA
"1717" "SBF2" NA "MITD1" NA NA
"1718" "ZFC3H1" NA "TMSB15B" NA NA
"1719" "TMEM66" NA "TSR2" NA NA
"1720" "ELP3" NA "DYNC1I1" NA NA
"1721" "MBD2" NA "TMED4" NA NA
"1722" "IER3IP1" NA "COPG2" NA NA
"1723" "MRPS36" NA "AGPAT6" NA NA
"1724" "BHLHE40" NA "TAGLN2" NA NA
"1725" "EDEM1" NA "ZNF276" NA NA
"1726" "DPH6" NA "PINK1" NA NA
"1727" "KATNBL1" NA "B4GALT3" NA NA
"1728" "PRPF38B" NA "NDUFS2" NA NA
"1729" "NOTCH2" NA "RAPGEF6" NA NA
"1730" "TRIM45" NA "EPB41" NA NA
"1731" "CEPT1" NA "IFNAR2" NA NA
"1732" "FKBP11" NA "MRPL10" NA NA
"1733" "ARF3" NA "DONSON" NA NA
"1734" "TMEM106C" NA "LAD1" NA NA
"1735" "YWHAQ" NA "UBE2Z" NA NA
"1736" "KIDINS220" NA "CHAF1B" NA NA
"1737" "GRHL1" NA "PSMB4" NA NA
"1738" "ROCK2" NA "STARD9" NA NA
"1739" "MYCN" NA "THEM4" NA NA
"1740" "NAV1" NA "AMFR" NA NA
"1741" "NARS" NA "RLTPR" NA NA
"1742" "FBXO18" NA "CCDC117" NA NA
"1743" "RBM17" NA "ZNF235" NA NA
"1744" "ECHDC3" NA "DFFA" NA NA
"1745" "CCNH" NA "CCDC58" NA NA
"1746" "DOCK2" NA "SLC37A1" NA NA
"1747" "" NA "NDUFV3" NA NA
"1748" "PUM1" NA "PKNOX1" NA NA
"1749" "YARS" NA "CBS" NA NA
"1750" "CDCA8" NA "U2AF1" NA NA
"1751" "DSC2" NA "RRP1B" NA NA
"1752" "TPGS2" NA "RRP1" NA NA
"1753" "DAGLA" NA "C21orf33" NA NA
"1754" "DHX34" NA "C21orf2" NA NA
"1755" "TMEM258" NA "SPATC1L" NA NA
"1756" "CLDN10" NA "VAV2" NA NA
"1757" "UBAC2" NA "C21orf58" NA NA
"1758" "ARGLU1" NA "ADAMTS13" NA NA
"1759" "BIVM" NA "SLC2A6" NA NA
"1760" "ARHGAP32" NA "PKN3" NA NA
"1761" "STT3A" NA "FLAD1" NA NA
"1762" "ETS1" NA "IL6R" NA NA
"1763" "UBQLN1" NA "CPSF4" NA NA
"1764" "CTSL" NA "VPS28" NA NA
"1765" "FAM189A2" NA "MUM1" NA NA
"1766" "CCNJL" NA "LRRC14" NA NA
"1767" "HNF1A" NA "ALKBH4" NA NA
"1768" "TRAFD1" NA "MFSD12" NA NA
"1769" "DMTF1" NA "DVL3" NA NA
"1770" "TMEM243" NA "AP2M1" NA NA
"1771" "TMEM60" NA "DMKN" NA NA
"1772" "RINT1" NA "DUSP14" NA NA
"1773" "TES" NA "PGAP3" NA NA
"1774" "MTO1" NA "ZNF577" NA NA
"1775" "ANKRD6" NA "FAM171A2" NA NA
"1776" "SYNCRIP" NA "PLCD3" NA NA
"1777" "SNX14" NA "SENP3" NA NA
"1778" "CAPRIN1" NA "RPL26" NA NA
"1779" "ATP5G2" NA "POLR3K" NA NA
"1780" "CD63" NA "CLPB" NA NA
"1781" "BLOC1S1" NA "TTC9C" NA NA
"1782" "CDK4" NA "RPL29" NA NA
"1783" "TROAP" NA "DCP1A" NA NA
"1784" "TFCP2" NA "ZFPL1" NA NA
"1785" "PAN2" NA "CMPK1" NA NA
"1786" "ESPL1" NA "MAGOH" NA NA
"1787" "LTV1" NA "USP24" NA NA
"1788" "MAP7" NA "RAVER2" NA NA
"1789" "CD164" NA "FBLIM1" NA NA
"1790" "AHI1" NA "TMCO4" NA NA
"1791" "SMPD2" NA "OMA1" NA NA
"1792" "RAB11FIP5" NA "PEA15" NA NA
"1793" "SMYD5" NA "OLFML2B" NA NA
"1794" "CCDC142" NA "KLHDC9" NA NA
"1795" "USP15" NA "FLVCR1" NA NA
"1796" "GNS" NA "ATF3" NA NA
"1797" "MDM2" NA "BROX" NA NA
"1798" "KLHL36" NA "B3GALNT2" NA NA
"1799" "DYNC1LI2" NA "MAPKAPK2" NA NA
"1800" "FHOD1" NA "CLHC1" NA NA
"1801" "NTPCR" NA "FBXO41" NA NA
"1802" "STX6" NA "SMC6" NA NA
"1803" "ACBD6" NA "SMARCAD1" NA NA
"1804" "SP110" NA "PACRGL" NA NA
"1805" "TTLL4" NA "SCNM1" NA NA
"1806" "TMEM127" NA "ERCC3" NA NA
"1807" "TGFBRAP1" NA "RNF149" NA NA
"1808" "MRPS9" NA "BOLA3" NA NA
"1809" "EPC2" NA "DHX57" NA NA
"1810" "DRAM1" NA "PAQR3" NA NA
"1811" "VILL" NA "NIPAL1" NA NA
"1812" "FLNB" NA "ANTXR2" NA NA
"1813" "BORA" NA "MRPS18C" NA NA
"1814" "MED4" NA "CGGBP1" NA NA
"1815" "IGF2BP3" NA "CLDN1" NA NA
"1816" "RAPGEF5" NA "PYGO2" NA NA
"1817" "KDELR2" NA "YY1AP1" NA NA
"1818" "ZFHX2" NA "APOA1BP" NA NA
"1819" "MTHFS" NA "CWC22" NA NA
"1820" "ADAMTS7" NA "SGOL2" NA NA
"1821" "IREB2" NA "PRKCI" NA NA
"1822" "DCAF7" NA "EIF5A2" NA NA
"1823" "ACTL6A" NA "PPM1L" NA NA
"1824" "NDUFB5" NA "PPP4R2" NA NA
"1825" "EPRS" NA "C3orf17" NA NA
"1826" "WDR33" NA "COX18" NA NA
"1827" "CCDC115" NA "RPL9" NA NA
"1828" "SAP130" NA "RPP14" NA NA
"1829" "BIN1" NA "APBB2" NA NA
"1830" "IMP4" NA "PRRT3" NA NA
"1831" "NIPSNAP3A" NA "TTC14" NA NA
"1832" "SMC2" NA "RCHY1" NA NA
"1833" "RALGPS1" NA "HPS3" NA NA
"1834" "DAB2IP" NA "SNRK" NA NA
"1835" "STXBP1" NA "CDCP1" NA NA
"1836" "ANGPTL2" NA "LRRC2" NA NA
"1837" "ZFP37" NA "ELP6" NA NA
"1838" "STX17" NA "TPRA1" NA NA
"1839" "PSMB7" NA "DNALI1" NA NA
"1840" "ANP32B" NA "RPN1" NA NA
"1841" "LMX1B" NA "TKT" NA NA
"1842" "ENPP2" NA "C1orf50" NA NA
"1843" "DSCC1" NA "CCDC51" NA NA
"1844" "DERL1" NA "ATRIP" NA NA
"1845" "MYC" NA "APEH" NA NA
"1846" "RANBP6" NA "GRM2" NA NA
"1847" "POLR1E" NA "POC1A" NA NA
"1848" "UBAP2" NA "ANAPC10" NA NA
"1849" "TLN1" NA "MOCS2" NA NA
"1850" "DCTN3" NA "CMBL" NA NA
"1851" "TMEM8B" NA "WDR41" NA NA
"1852" "ALDH1B1" NA "NDUFS4" NA NA
"1853" "DENND4C" NA "GPX8" NA NA
"1854" "FOXP4" NA "ERAP1" NA NA
"1855" "KIF13A" NA "KIAA1430" NA NA
"1856" "PIM1" NA "RICTOR" NA NA
"1857" "GMPR" NA "NSA2" NA NA
"1858" "YIPF3" NA "TERT" NA NA
"1859" "FRS3" NA "SFXN1" NA NA
"1860" "RIPK1" NA "TMEM200A" NA NA
"1861" "MDC1" NA "PDSS2" NA NA
"1862" "ATAT1" NA "STK17A" NA NA
"1863" "MTCH1" NA "RPS14" NA NA
"1864" "VARS2" NA "SLU7" NA NA
"1865" "CPEB2" NA "RP9" NA NA
"1866" "FCHSD2" NA "PTTG1" NA NA
"1867" "IL18BP" NA "CAMLG" NA NA
"1868" "RNF121" NA "FABP5" NA NA
"1869" "SORL1" NA "MED30" NA NA
"1870" "DCUN1D5" NA "ORC5" NA NA
"1871" "RDX" NA "OSGIN2" NA NA
"1872" "MAP2K5" NA "TMEM74" NA NA
"1873" "SLTM" NA "SLC4A2" NA NA
"1874" "NDUFAF1" NA "FASTK" NA NA
"1875" "RTF1" NA "PHAX" NA NA
"1876" "PARP6" NA "COX6C" NA NA
"1877" "PAK6" NA "YWHAZ" NA NA
"1878" "ADAM10" NA "SLC25A32" NA NA
"1879" "STRA6" NA "DCAF13" NA NA
"1880" "FNBP1L" NA "SNAPC3" NA NA
"1881" "CCBL2" NA "PSIP1" NA NA
"1882" "GTF2B" NA "UBAP1" NA NA
"1883" "RABGGTB" NA "GKAP1" NA NA
"1884" "SLC44A5" NA "HNRNPK" NA NA
"1885" "EPT1" NA "ANKS6" NA NA
"1886" "SMEK2" NA "NDUFB6" NA NA
"1887" "RAB1A" NA "AQP3" NA NA
"1888" "PREB" NA "TRMT10B" NA NA
"1889" "SLC5A6" NA "MELK" NA NA
"1890" "PREPL" NA "ARHGAP12" NA NA
"1891" "KIF11" NA "FBXO33" NA NA
"1892" "DUSP5" NA "SUGT1" NA NA
"1893" "CEP55" NA "ZCCHC24" NA NA
"1894" "KIF20B" NA "MICU2" NA NA
"1895" "DBR1" NA "NEMF" NA NA
"1896" "FAM149B1" NA "TTC8" NA NA
"1897" "NCOA4" NA "NUDT5" NA NA
"1898" "TIMM23" NA "ATP5C1" NA NA
"1899" "TET1" NA "VDAC2" NA NA
"1900" "DNA2" NA "FAM175B" NA NA
"1901" "PPIG" NA "FAM204A" NA NA
"1902" "MDH1B" NA "GHITM" NA NA
"1903" "OLA1" NA "SNAPC4" NA NA
"1904" "CIR1" NA "LOH12CR1" NA NA
"1905" "FAM117B" NA "FAM69B" NA NA
"1906" "ITGAV" NA "RET" NA NA
"1907" "MNS1" NA "FUNDC2" NA NA
"1908" "USP8" NA "METTL17" NA NA
"1909" "SECISBP2L" NA "CASP7" NA NA
"1910" "TMOD3" NA "PSMC3" NA NA
"1911" "SHF" NA "TC2N" NA NA
"1912" "APH1B" NA "KIAA1731" NA NA
"1913" "VWA9" NA "R3HCC1L" NA NA
"1914" "PPCDC" NA "JAM3" NA NA
"1915" "ARHGAP24" NA "GPT2" NA NA
"1916" "FAM13A" NA "NDUFB8" NA NA
"1917" "PCDH10" NA "SPINT1" NA NA
"1918" "HNRNPD" NA "BRD7" NA NA
"1919" "RASGEF1B" NA "API5" NA NA
"1920" "KIAA1109" NA "SGPL1" NA NA
"1921" "RAP1GDS1" NA "CCT2" NA NA
"1922" "PDE5A" NA "CLMP" NA NA
"1923" "PRDM5" NA "NUDT13" NA NA
"1924" "NUP54" NA "TAF10" NA NA
"1925" "G3BP2" NA "TPP1" NA NA
"1926" "SEPT11" NA "CYB5A" NA NA
"1927" "USO1" NA "PPFIBP2" NA NA
"1928" "SHROOM3" NA "KIAA0355" NA NA
"1929" "INTS12" NA "TUB" NA NA
"1930" "HADH" NA "CRABP1" NA NA
"1931" "SEC24B" NA "CENPN" NA NA
"1932" "MAPK8IP3" NA "AKIP1" NA NA
"1933" "GUCD1" NA "ATMIN" NA NA
"1934" "KIF21A" NA "LEO1" NA NA
"1935" "FGD4" NA "TK2" NA NA
"1936" "AEBP2" NA "TMED3" NA NA
"1937" "ETNK1" NA "TMEM135" NA NA
"1938" "ZCRB1" NA "FAM96B" NA NA
"1939" "C1RL" NA "BLCAP" NA NA
"1940" "VAMP1" NA "ATF7IP2" NA NA
"1941" "SCAF11" NA "B2M" NA NA
"1942" "COL2A1" NA "SLFN5" NA NA
"1943" "LRIG3" NA "FAM96A" NA NA
"1944" "PHLDA1" NA "KIAA0101" NA NA
"1945" "LGR5" NA "ANKDD1A" NA NA
"1946" "SNRPF" NA "CLPX" NA NA
"1947" "GAS2L3" NA "NAB2" NA NA
"1948" "SLC15A4" NA "STX3" NA NA
"1949" "C12orf52" NA "MRPL16" NA NA
"1950" "FAM222A" NA "CCNDBP1" NA NA
"1951" "NUPL1" NA "MARS" NA NA
"1952" "SLC7A1" NA "CNPY4" NA NA
"1953" "LNX2" NA "PHB" NA NA
"1954" "SUOX" NA "SAMD14" NA NA
"1955" "TARBP2" NA "ACSF2" NA NA
"1956" "NABP2" NA "GOLGA2" NA NA
"1957" "SMARCC2" NA "COQ4" NA NA
"1958" "BRCA2" NA "ENDOG" NA NA
"1959" "KANSL2" NA "FBXO22" NA NA
"1960" "CERS5" NA "MYO5B" NA NA
"1961" "CSAD" NA "ZNF23" NA NA
"1962" "C12orf10" NA "ZNF180" NA NA
"1963" "LPAR6" NA "ZNF646" NA NA
"1964" "SBNO1" NA "RAB8A" NA NA
"1965" "VPS37B" NA "MIDN" NA NA
"1966" "DIAPH3" NA "TRAPPC2L" NA NA
"1967" "SLAIN1" NA "RPL13" NA NA
"1968" "GRTP1" NA "CACNB3" NA NA
"1969" "CUL4A" NA "TP53I13" NA NA
"1970" "NOVA1" NA "TUBA1A" NA NA
"1971" "DCAF5" NA "TUBA1C" NA NA
"1972" "BNIP2" NA "RAB4B" NA NA
"1973" "BAHD1" NA "C19orf55" NA NA
"1974" "CDAN1" NA "YIF1B" NA NA
"1975" "ANP32A" NA "UBXN6" NA NA
"1976" "ETFA" NA "" NA NA
"1977" "MESDC1" NA "SEMA6B" NA NA
"1978" "TPM1" NA "SRR" NA NA
"1979" "IGF1R" NA "ZNF83" NA NA
"1980" "PIF1" NA "" NA NA
"1981" "USP3" NA "SPRYD3" NA NA
"1982" "CYP11A1" NA "NDUFV1" NA NA
"1983" "PML" NA "" NA NA
"1984" "PCSK6" NA "ZNF232" NA NA
"1985" "SCAMP2" NA "TMEM88" NA NA
"1986" "ABHD2" NA "ITFG3" NA NA
"1987" "TICRR" NA "MLST8" NA NA
"1988" "MFGE8" NA "ECI1" NA NA
"1989" "CRTC3" NA "SDHAF2" NA NA
"1990" "PMM2" NA "DDB1" NA NA
"1991" "TGFB1I1" NA "VWCE" NA NA
"1992" "C16orf58" NA "RAB3IL1" NA NA
"1993" "ARMC5" NA "BEST1" NA NA
"1994" "KATNB1" NA "BSCL2" NA NA
"1995" "KIFC3" NA "POLR2G" NA NA
"1996" "CMTM3" NA "SLC3A2" NA NA
"1997" "ZCCHC14" NA "HRASLS5" NA NA
"1998" "PDPK1" NA "RPSA" NA NA
"1999" "GALNS" NA "ULK4" NA NA
"2000" "GID4" NA "SAC3D1" NA NA
"2001" "RANBP10" NA "PBK" NA NA
"2002" "CTRL" NA "RAB4A" NA NA
"2003" "RASL10B" NA "TTC39C" NA NA
"2004" "SGSM2" NA "DNAJC7" NA NA
"2005" "NPEPPS" NA "THAP11" NA NA
"2006" "SSH2" NA "MMADHC" NA NA
"2007" "CLTC" NA "PDHB" NA NA
"2008" "AFG3L2" NA "KCTD6" NA NA
"2009" "IMPA2" NA "SEPT2" NA NA
"2010" "SLC39A6" NA "DTYMK" NA NA
"2011" "C18orf21" NA "ATG4B" NA NA
"2012" "GALNT1" NA "RHOH" NA NA
"2013" "GAREM" NA "REEP4" NA NA
"2014" "ESCO1" NA "ATXN2L" NA NA
"2015" "OSBPL1A" NA "HEXIM2" NA NA
"2016" "PELP1" NA "FNTA" NA NA
"2017" "MINK1" NA "ING2" NA NA
"2018" "PIK3R5" NA "CDKN2AIP" NA NA
"2019" "TP53" NA "ZNF30" NA NA
"2020" "CCDC40" NA "UGT3A2" NA NA
"2021" "SLC16A3" NA "PKIG" NA NA
"2022" "CSNK1D" NA "CNNM3" NA NA
"2023" "ANAPC11" NA "GSTM4" NA NA
"2024" "TRIM65" NA "ZBTB5" NA NA
"2025" "AZI1" NA "STX18" NA NA
"2026" "DYM" NA "" NA NA
"2027" "ELAC1" NA "USP39" NA NA
"2028" "MBD1" NA "TNIP2" NA NA
"2029" "FAM134C" NA "MAT2A" NA NA
"2030" "MIEN1" NA "ZNF608" NA NA
"2031" "FKBP10" NA "E2F6" NA NA
"2032" "TXNL4A" NA "ATP5I" NA NA
"2033" "SAMD1" NA "MECP2" NA NA
"2034" "BRD4" NA "HSPBAP1" NA NA
"2035" "SLC39A3" NA "CHST14" NA NA
"2036" "TPGS1" NA "CSNK1G1" NA NA
"2037" "SH3GL1" NA "CPT1C" NA NA
"2038" "SIRT3" NA "RAB3B" NA NA
"2039" "SIK1" NA "CD2BP2" NA NA
"2040" "SCYL1" NA "RGS14" NA NA
