"V1" "V1" "V1" "V1" "V1"
"171" "FOXN3" "GNAI2" "MYO9A" "PPP3CA" "YIPF5"
"172" "AKR7A2" "IFT57" "PFKP" "FBN2" "RNF145"
"173" "THRAP3" "COMMD2" "IDI1" "AMIGO2" "SRCRB4D"
"174" "PHPT1" "ARHGEF26" "TRAM1" "MARCH9" "NOM1"
"175" "PLEKHH1" "VIPR1" "PHKA1" "TMEM132B" "EBAG9"
"176" "FAM168A" "LMAN2L" "PKM" "GALNT6" "MAL2"
"177" "TAB2" "GPD2" "PRKCZ" "FRMD6" "PROSER2"
"178" "GINM1" "CENPA" "IDH3G" "HMG20A" "SERPINH1"
"179" "USP36" "ACVR1" "PDZD4" "CHST4" "NCAM1"
"180" "KMT2C" "SNX17" "ROCK1" "GATA6" "CCDC15"
"181" "MRPL43" "ELMOD3" "PDK3" "CBX4" "LPHN3"
"182" "ZFR" "MLPH" "PLEKHH3" "PMAIP1" "CCT5"
"183" "ZNF280C" "RALGPS2" "OTUD5" "SLC47A1" "EIF4E"
"184" "IL17RB" "TTF2" "TBC1D25" "DCAF6" "NUBPL"
"185" "TRAF3IP2" "TMEM9" "GRIPAP1" "RGL1" "TEX9"
"186" "GYG2" "ID3" "PRR11" "MCL1" "GUF1"
"187" "GDI2" "PRPF3" "NUP133" "FAM63A" "UTRN"
"188" "ATG5" "CDC20" "DNAJA2" "CAMKMT" "PLOD2"
"189" "MTA3" "PTBP2" "GAL" "TMEM177" "UBASH3B"
"190" "ATP11B" "DIEXF" "ATP1B3" "GALNT13" "TRIM11"
"191" "CDK14" "PPP1R8" "PIGB" "MED12L" "PI4K2A"
"192" "SEC61A1" "C1orf54" "UFD1L" "SLIT2" "ZKSCAN2"
"193" "PPP1R12A" "ANKRD13C" "TMEM260" "FBXL17" "TMEM237"
"194" "CROCC" "MYL12B" "RNF126" "N4BP3" "RMND1"
"195" "NDC1" "WDR35" "ZXDC" "PRSS35" "EXOG"
"196" "TARBP1" "FBXW2" "AP3M2" "ATXN7L1" "RBPMS"
"197" "PET112" "IFI27L2" "PABPC1" "NLGN4X" "MYO1E"
"198" "MXD1" "IFT43" "CSNK2A2" "ATP6V1B2" "TSC22D3"
"199" "SLC2A3" "AREL1" "EIF2B3" "HMBOX1" "C12orf43"
